die Konjugation, -en	спряжение
der Korb, -..e	коробка
korrigieren	исправлять
kosten	стоить
krank	больной
der Kriminalfilm, -e	детектив
kroatisch	хорватский
die Küche, -n	кухня
der Kühlschrank, -..e	холодильник
der Kuchen,	пирог
die Kultur, -en	культура
der Kunde, -n	клиент
die Kundin, -nen	клиентка
der Kurs, -e	курс
der Kursleiter,	руководитель курса
die Kursleiterin,	руководительница курса
kurz	короткий
der Kalender,	календарь
der Karneval (Sing)	карнавал
der Kasten, -..	ящик
die Katze, -n	кошка
die Kauffrau, -en	коммерсантка
das Kaufhaus, -..er	универмаг
der Kaufmann	коммерсант
der Keller,	подвал
der Kellner,	официант
kennen lernen	познакомиться
die Kenntnisse (Plural)	знание
der Kiosk, -s	киоск
klar	ясный
das Kleid, -er	платье
die Kleidung (Sing)	одежда
der Knochen,	кость
der Koch, -..e	повар
das Kochbuch, -..er	поварная книга
der Koffer,	чемодан
kompetent	компетентный
der Kopf, -..e	голова
der Körperteil, -e	часть тела
die Kosmetik, -a	косметика
das Krankenhaus, -..er	больница
der Krankenpfleger,	санитар
die Krankenschwester, -n	медсестра
die Krankenversicherung, -en	медицинская стреаховка
die Krankheit, -en	болезнь
die Krankmeldung, -en	справка о болезни
das Kreuz, -e	крест
der Kugelschreiber,	шариковая ручка
(sich) kümmern	заботитъся
der Kundendienst (Sing)	служба по работе с клиентами
das Kursbuch, -..er	учебник
der Laden, ..	магазин
die Lampe, -n	лампа
das Land, -..er	страна
die Landkarte, -n	географическая карта
langsam	медленный
leben	жить
lebend	живой
das Leder,	кожа (материал)
ledig	холостой/незамужняя
der Lehrer,	учитель
die Lehrerin, -nen	учительница
leider	к сожалению
die Lektion, -en	лекция
lernen	учить
lesen	читать
das Lieblingsbuch, -..er	любимая книга
der Lieblingsmusik, (nur Sing.)	любимая музыка
liegen	находитъся
die Liste, -n	список
der Liter,	литр
lachen	смеятъся
das Ladegerät, -e	прибор для подзарядки
laden	заряжать
der Lagerverkauf, -..e	продажа со склада
laufen	бегать
das Leben (Sing)	жизнь
die Lebensgeschichte, -n	история жизни
das Lebensjahr, -e	год жизни
das Lebensmittel,	продовольственные товары
legen	класть
leicht	легкий
die Leidenschaft, -en	страсть
leihen	одалживать
der Lesetext, -e	текст для чтения
die Leute (Plural)	люди
das Licht, -er	свет
lieben	любить
das Lied, -er	песня
liefern	доставлять
der LKW, -s	грузовая машина
lösen	решать
die Lösung, -en	решение
die Lust (Sing)	настроение
lustig	смешной
machen	делать
das Mädchen,	девочка
der Mai (nur Sing.)	май
(die) Mama, -s	мама
der Mann, -..er	мужчина
die Marke, -n	марка
markieren	отмечать
der März, -e	март
die Maschine, -n	машина
maskulin v	мужской род
die Maßeinheit, -en	единица меры
die Matratze, -en	матрац
mehr	еще
meist	в основном
die Mengenangabe, -n	данные о количестве
das Metall, -e	металл
der Meter, -e	метр
der Metzger,	мясник
die Miete, -n	квартплата
der Mietmarkt, -..e	рынок жилья
der Mietpreis, -e	стоимость съема
die Migration, -en	миграция
die Milch (nur Sing.)	молоко
die Million, en	миллион
das Mineralwasser,	минеральная вода
minimal	минимальмый
minus	минус
das Missfallen (nur Sing.)	недоволъство
mitbringen	приносить с собой
mitkommen	пойти вместе
mitmachen	учавствовать
mitnehmen	братъ с собой
der Mittag, -e	полдень
das Mittagessen,	полдник
(der) Mittwoch,	среда
das Möbel,	мебель
möbliert	меблированный
das Modalverb v	модальный глагол
der Monat, -e	месяц
die Monatsmiete, -n	месячная квартплата
(der) Montag, -e	понедельник
der Morgen (nur Sing.)	утро
morgens v	по утрам
müde	уставший
die Musik (nur Sing.)	музыка
die Mutter, -..	мама
manchmal	иногда
der Maler,	- маляр
der Mantel, -..	палъто
der Mechaniker,	механик
das Medikament, -e	медикамент
die Medizin (Sing)	медицина
das Meer, -e	море
die Meinung, -en	мнение
der Meister,	мастер
das Meldeformular, -e	формуляр заявления
melden	заявлять
der Mensch, -en	человек
die Minute, -n	минута
mischen	мешать
der Mist (Sing)	навоз
das Mistwetter (Sing)	ужасная погода
mitfahren	ехать вместе с кем-то
mitgehen	идти вместе с кем-то
das Mitglied, -er	член какого-то общества
mitsingen	петь вместе с кем-то
die Mittagspause, -n	обеденный перерыв
die Mitteilung, -en	сообщение
das Modell, -e	модель
das Modem, -s	модем
modern	современный
möglich	возможный
der Moment, -e	момент
der Mund, -..er	рот
mündlich	устный
das Museum, Museen	музей
der Musiker,	музыкант
nachfragen	справляться
der Nachmittag, -e	послеобеденное время
die Nachrichten (nur Plural)	сообщения
nachsprechen	повторить
die Nacht, -e	ночь
der Name, -n	имя
nämlich	а именно
die Negation, -en	отрицание
der Negativartikel,	негативартикль
neu	новый
neutral	средний род
noch	еще
das Nomen,	существительное
der Nominativ, -e v	именительный падеж
der Norden (Sing.)	север
der Nudelsalat, -e	салат из вермишели / лапши
null	нуль
die Nummer, -n	номер
die Nachbarin, -nen	сосед
nachmachen	подражать
nachsehen	посмотреть
die Nachsilbe, -n	суффикс
die Nähe (Sing)	близость
nämlich а	именно
die Nase, -n	нос
die Nationalität, -en	национальность
nehmen	брать
nennen	называть
nett	приятный
nie	никогда
der Notdienst (Sing)	аварийная служба
die Note, -n	оценка
notieren	отмечать
die Notiz, -en	запись
der November	ноябрь
das Obst (Sing)	фрукты
oder	или
offiziell	официальный
die Orange	апельсин
ordnen	располагать
der Ort, -e	место
der Osten (Sing)	восток
der Ober,	официант
